連想語,ヒント1,ヒント2,ヒント3,ヒント4,ヒント5,問い語
スポーツ,バレーボール,水泳,マラソン,体操,サッカー,仲間
お店,花屋,酒屋,八百屋,パン屋,本屋,仲間
薬,鎮痛剤,湿布,カプセル,軟膏,錠剤,仲間
楽器,ピアノ,バイオリン,太鼓,琴,フルート,仲間
建物,ビル,一戸建て,マンション,病院,教会,仲間
乗り物,車,電車,飛行機,バス,船,仲間
洋服,ズボン,スカート,セーター,背広,ワイシャツ,仲間
食器,皿,茶碗,湯呑,箸,フォーク,仲間
木,杉,けやき,松,ひのき,紅葉,仲間
家具,机,タンス,椅子,食器棚,ベッド,仲間
文房具,はさみ,鉛筆,消しゴム,定規,コンパス,仲間
魚,トビウオ,金魚,うなぎ,メダカ,あじ,仲間
家電,洗濯機,テレビ,冷蔵庫,電子レンジ,掃除機,仲間
楽器,ギター,ドラム,クラリネット,チェロ,リコーダー,仲間
玩具,積み木,トランプ,人形,プラモデル,ラジコン,仲間
天気,晴,雪,雨,台風,くもり,仲間
花,バラ,たんぽぽ,菊,チューリップ,蘭,仲間
アクセサリー,イヤリング,ネックレス,ピアス,指輪,ブレスレット,仲間
宗教,仏教,キリスト教,ヒンズー教,イスラム教,ユダヤ教,仲間
家事,洗濯,掃除,調理,買い物,布団干し,仲間
化粧品,口紅,ファンデーション,頬紅,マスカラ,アイシャドウ,仲間
職業,会社員,教師,医師,運転士,店員,仲間
寝具,枕,シーツ,布団,毛布,タオルケット,仲間
掃除,ほうき,ちりとり,たわし,雑巾,モップ,仲間
大工道具,のこぎり,糸のこ,釘,金槌,かんな,仲間
昆虫,かぶとむし,蟻,スズムシ,カマキリ,トンボ,仲間
文房具,カッター,分度器,三角定規,鉛筆削り,色鉛筆,仲間
寿司ネタ,トロ,アナゴ,ウニ,いくら,いか,仲間
感情,笑う,泣く,怒る,悲しみ,喜ぶ,仲間
図形,円,台形,正方形,楕円,三角形,仲間
昔話,桃太郎,浦島太郎,かぐや姫,一寸法師,シンデレラ,仲間
挨拶,おはよう,こんにちは,こんばんは,ありがとう,さようなら,仲間
刃物,はさみ,ナイフ,カッター,包丁,刀,仲間
首都,東京,北京,モスクワ,ワシントン,カイロ,仲間
下着,シャツ,パンツ,靴下,ランニング,タイツ,仲間
ゲーム,オセロ,将棋,トランプ,囲碁,麻雀,仲間
中華料理,シュウマイ,餃子,チャーハン,北京ダック,八宝菜,仲間
省庁,厚生労働省,総務省,文部科学省,財務省,農林水産省,仲間
街道,日光街道,中山道,東海道,常磐道,甲州街道,仲間
筆記用具,ペン,筆,鉛筆,ボールペン,万年筆,仲間
洋服,袖,襟,ボタン,ファスナー,ポケット,部分
時計,長針,短針,秒針,電池,数字,部分
顔,鼻,口,目,眉毛,耳,部分
車,タイヤ,ライト,フロントガラス,ワイパー,ハンドル,部分
魚,目玉,うろこ,尾ひれ,えら,背びれ,部分
家,屋根,柱,壁,窓,ベランダ,部分
自転車,サドル,タイヤ,ペダル,ベル,かご,部分
身体,頭,腕,足,腰,背中,部分
赤,ポスト,りんご,消防車,トマト,いちご,色
青,空,海,信号,ツユクサ,ガスの炎,色
黄色,バナナ,ヒマワリ,レモン,パイナップル,ぎんなん,色
白,雪,ウサギ,塩,砂糖,紙,色
春,お花見,入学式,新学期,卒業式,チューリップ,季節
冬,こたつ,雪山,ストーブ,コート,雪だるま,季節
夏,うちわ,蚊取り線香,クーラー,かき氷,海水浴,季節
秋,紅葉,お月見,虫の音,稲刈り,ハロウィン,季節
哺乳類,犬,猫,豚,ライオン,虎,仲間
魚,鯛,マグロ,イワシ,鰆,カツオ,仲間
鳥,鳩,うぐいす,鷲,白鳥,スズメ,仲間
虫,蝶,クワガタ,セミ,バッタ,コオロギ,仲間
野菜,ピーマン,たけのこ,ごぼう,サツマイモ,トマト,仲間
果物,柿,さくらんぼ,なし,マンゴー,マスカット,仲間
お酒,ビール,ワイン,日本酒,焼酎,カクテル,仲間
デザート,アイスクリーム,パフェ,ゼリー,ケーキ,ムース,仲間
風呂,洗面器,シャンプー,浴槽,リンス,石鹸,家の中である場所
台所,包丁,まな板,鍋,やかん,ガスレンジ,家の中である場所
玄関,鏡,下駄箱,靴べら,靴,傘立て,家の中である場所
居間,テレビ,テーブル,ソファー,クッション,カーペット,家の中である場所
お正月,門松,羽根つき,雑煮,お年玉,年賀状,行事
お盆,お供え,お墓,お線香,里帰り,送り火,行事
結婚式,ウェディングドレス,白無垢,三々九度,教会,指輪,行事
クリスマス,ケーキ,サンタクロース,ツリー,靴下,プレゼント,行事
カレー,じゃがいも,人参,肉,たまねぎ,ルウ,メニュー
焼きそば,麺,豚肉,キャベツ,紅ショウガ,青のり,メニュー
おでん,大根,こんにゃく,はんぺん,さつま揚げ,すじ肉,メニュー
