バレーボール,バレー,,,,,,
花屋,花屋さん,お花屋,お花屋さん,,,,
鎮痛剤,鎮痛薬,,,,,,
ピアノ,,,,,,,
ビル,,,,,,,
車,自動車,,,,,,
ズボン,,,,,,,
皿,お皿,,,,,,
杉,スギ,すぎ,,,,,
机,つくえ,デスク,テーブル,,,,
はさみ,ハサミ,鋏,,,,,
トビウオ,飛び魚,飛魚,とびうお,,,,
洗濯機,,,,,,,
ギター,,,,,,,
積み木,積木,,,,,,
晴,晴れ,,,,,,
バラ,,,,,,,
イヤリング,,,,,,,
仏教,,,,,,,
口紅,リップスティック,リップ,,,,,
会社員,サラリーマン,職員,勤め人,,,,
枕,まくら,,,,,,
ほうき,箒,ホウキ,,,,,
のこぎり,ノコギリ,鋸,,,,,
かぶとむし,カブトムシ,カブト虫,甲虫,,,,
カッター,カッターナイフ,,,,,,
トロ,,,,,,,
笑う,笑,笑い,爆笑,大笑い,,,
円,,,,,,,
桃太郎,,,,,,,
おはよう,おはようございます,お早う,,,,,
東京,東京都,,,,,,
シャツ,tシャツ,Tシャツ,Yシャツ,yシャツ,ワイシャツ,ティーシャツ,
オセロ,,,,,,,
シュウマイ,しゅうまい,焼売,,,,,
厚生労働省,,,,,,,
日光街道,,,,,,,
ペン,,,,,,,
袖,,,,,,,
長針,,,,,,,
鼻,お鼻,,,,,,
タイヤ,,,,,,,
屋根,,,,,,,
サドル,,,,,,,
頭,,,,,,,
ポスト,,,,,,,
空,青空,ソラ,そら,,,,
バナナ,ばなな,,,,,,
雪,ゆき,スノー,スノウ,,,,
お花見,花見,,,,,,
こたつ,コタツ,炬燵,,,,,
うちわ,団扇,,,,,,
紅葉,もみじ,モミジ,,,,,
犬,イヌ,いぬ,ドッグ,,,,
鯛,タイ,たい,,,,,
鳩,ハト,はと,,,,,
蝶,蝶々,ちょう,,,,,
ピーマン,,,,,,,
柿,カキ,かき,,,,,
ビール,麦酒,ビアー,,,,,
アイスクリーム,アイス,ソフトクリーム,,,,,
洗面器,洗面台,,,,,,
包丁,ナイフ,庖丁,,,,,
鏡,ミラー,銀鏡,,,,,
テレビ,電視台,テレビジョン,TV,,,,
門松,松の内,松飾り,カドマツ,,,,
お供え,供物,捧げ物,,,,,
ウェディングドレス,ウエディングドレス,ドレス,,,,,
ケーキ,,,,,,,
じゃがいも,ジャガイモ,じゃが芋,馬鈴薯,,,,
麺,麺類,ヌードル,,,,,
大根,だいこん,ダイコン,,,,,
牛肉,ビーフ,,,,,,
パスポート,,,,,,,
診察券,,,,,,,
テント,,,,,,,
お弁当,弁当,べんとう,おべんとう,,,,
筆,,,,,,,
スコップ,,,,,,,
お線香,線香,,,,,,
アスパラガス,,,,,,,
いちご,イチゴ,苺,,,,,
桜餅,桜もち,サクラモチ,さくらもち,,,,
ポテトチップ,ポテトチップ,ポテチ,,,,,
チーター,,,,,,,
イルカ,いるか,海豚,,,,,
カラス,からす,烏,,,,,
うさぎ,ウサギ,兎,,,,,
葉っぱ,はっぱ,葉,,,,,
髪の毛,髪,毛,,,,,
土,,,,,,,
スカイツリー,東京スカイツリー,,,,,,
札幌,札幌市,,,,,,
善光寺,,,,,,,
ちゃんぽん,チャンポン,ちゃんぽん麺,,,,,
ボール,玉,,,,,,
水着,,,,,,,
アタック,,,,,,,
ゴール,,,,,,,
ブランコ,,,,,,,
理科室,,,,,,,
診察室,,,,,,,
税関,,,,,,,
みかん,ミカン,蜜柑,,,,,
ほうれん草,ホウレンソウ,ほうれんそう,ホウレン草,,,,
そば,蕎麦,ソバ,,,,,
タオル,,,,,,,
歯ブラシ,,,,,,,
りんご,リンゴ,林檎,,,,,
塩,ソルト,,,,,,
泡盛,,,,,,,
富士山,,,,,,,
金のしゃちほこ,鯱,シャチホコ,,,,,
ロンドン橋,,,,,,,
自由の女神,,,,,,,
ピラミッド,,,,,,,
シドニー,,,,,,,
おまわりさん,お巡りさん,警察官,警察,,,,
住民票,,,,,,,
消防車,,,,,,,
クリーニング屋,,,,,,,
水泳,スイミング,,,,,,
酒屋,,,,,,,
湿布,,,,,,,
バイオリン,,,,,,,
一戸建て,,,,,,,
電車,トレイン,,,,,,
スカート,,,,,,,
茶碗,お茶碗,茶わん,,,,,
けやき,欅,ケヤキ,,,,,
タンス,,,,,,,
鉛筆,えんぴつ,,,,,,
金魚,キンギョ,きんぎょ,,,,,
ドラム,,,,,,,
トランプ,,,,,,,
たんぽぽ,タンポポ,蒲公英,,,,,
ネックレス,,,,,,,
キリスト教,,,,,,,
掃除,,,,,,,
ファンデーション,ファンデ,,,,,,
教師,先生,,,,,,
シーツ,,,,,,,
ちりとり,塵取り,ちり取り,,,,,
糸のこ,糸鋸,,,,,,
蟻,あり,アリ,,,,,
分度器,,,,,,,
アナゴ,穴子,あなご,,,,,
泣く,,,,,,,
台形,,,,,,,
浦島太郎,,,,,,,
こんにちは,今日は,,,,,,
ナイフ,庖丁,包丁,,,,,
北京,北京市,,,,,,
パンツ,,,,,,,
将棋,,,,,,,
餃子,ぎょうざ,ギョウザ,,,,,
総務省,,,,,,,
中山道,,,,,,,
襟,,,,,,,
短針,,,,,,,
口,くち,,,,,,
ライト,光源,明かり,照明,,,,
うろこ,鱗,ウロコ,,,,,
柱,,,,,,,
タイヤ,,,,,,,
腕,,,,,,,
海,うみ,オーシャン,,,,,
ヒマワリ,向日葵,ひまわり,,,,,
ウサギ,兎,うさぎ,,,,,
入学式,,,,,,,
雪山,,,,,,,
蚊取り線香,蚊取線香,,,,,,
お月見,月見,,,,,,
猫,ネコ,ねこ,キャット,,,,
マグロ,まぐろ,鮪,,,,,
うぐいす,ウグイス,鶯,,,,,
クワガタ,クワガタムシ,,,,,,
たけのこ,筍,タケノコ,,,,,
さくらんぼ,サクランボ,,,,,,
ワイン,,,,,,,
パフェ,,,,,,,
シャンプー,,,,,,,
まな板,俎板,,,,,,
下駄箱,,,,,,,
テーブル,机,デスク,,,,,
羽根つき,羽根突き,羽根突,羽付,,,,
お墓,墓,墓地,,,,,
白無垢,,,,,,,
サンタクロース,サンタ,サンタさん,,,,,
人参,にんじん,ニンジン,,,,,
豚肉,ポーク,,,,,,
こんにゃく,蒟蒻,,,,,,
白菜,ハクサイ,はくさい,,,,,
スーツケース,,,,,,,
手帳,手帖,,,,,,
寝袋,,,,,,,
シート,,,,,,,
墨,すみ,,,,,,
じょうろ,如雨露,,,,,,
お花,花,華,フラワー,,,,
ブロッコリー,,,,,,,
スイカ,西瓜,,,,,,
大福,だいふく,,,,,,
チョコレート,チョコ,,,,,,
ライオン,,,,,,,
クジラ,くじら,鯨,,,,,
ハエ,蠅,蝿,,,,,
馬,うま,ウマ,,,,,
闇,ダーク,,,,,,
モグラ,もぐら,土竜,,,,,
桃,もも,モモ,,,,,
皇居,,,,,,,
函館,函館市,,,,,,
諏訪湖,,,,,,,
平戸,,,,,,,
バット,,,,,,,
バタフライ,,,,,,,
セッター,,,,,,,
滑り台,,,,,,,
音楽室,,,,,,,
手術室,,,,,,,
両替所,,,,,,,
オレンジ,,,,,,,
うどん,饂飩,,,,,,
石鹸,石けん,石?,ソープ,,,,
歯磨き粉,歯みがき粉,,,,,,
洗濯ばさみ,洗濯バサミ,,,,,,
砂糖,さとう,シュガー,,,,,
クッキー,,,,,,,
首里城,,,,,,,
浜名湖,,,,,,,
津軽三味線,,,,,,,
味噌カツ,味噌かつ,,,,,,
ビッグベン,,,,,,,
大統領,,,,,,,
クフ王,,,,,,,
カンガルー,,,,,,,
落し物,落とし物,忘れ物,亡くし物,紛失物,遺失物,,
戸籍,,,,,,,
救急車,,,,,,,
薬局,,,,,,,
マラソン,,,,,,,
八百屋,,,,,,,
カプセル,,,,,,,
太鼓,,,,,,,
マンション,,,,,,,
飛行機,,,,,,,
セーター,,,,,,,
湯呑,湯飲み,湯呑み,湯飲,,,,
松,まつ,マツ,,,,,
椅子,いす,イス,,,,,
消しゴム,,,,,,,
うなぎ,ウナギ,鰻,,,,,
冷蔵庫,,,,,,,
クラリネット,,,,,,,
人形,にんぎょう,,,,,,
雨,あめ,,,,,,
菊,キク,,,,,,
ピアス,,,,,,,
ヒンズー教,,,,,,,
調理,,,,,,,
頬紅,ほお紅,,,,,,
医師,医者,お医者さん,お医者様,,,,
布団,蒲団,ふとん,,,,,
たわし,束子,タワシ,,,,,
釘,くぎ,,,,,,
スズムシ,鈴虫,すず虫,スズ虫,,,,
三角定規,,,,,,,
ウニ,うに,雲丹,,,,,
怒る,怒り,,,,,,
正方形,四角形,四角,,,,,
かぐや姫,輝夜姫,カグヤヒメ,,,,,
こんばんは,今晩は,,,,,,
モスクワ,,,,,,,
靴下,,,,,,,
チャーハン,炒飯,,,,,,
文部科学省,,,,,,,
東海道,,,,,,,
目玉,目,眼,眼球,,,,
ボタン,,,,,,,
秒針,,,,,,,
目,目玉,眼,眼球,,,,
フロントガラス,,,,,,,
尾ひれ,尾びれ,尾鰭,,,,,
壁,かべ,,,,,,
ペダル,,,,,,,
足,脚,あし,,,,,
信号,,,,,,,
レモン,,,,,,,
新学期,,,,,,,
ストーブ,,,,,,,
クーラー,,,,,,,
虫の音,虫の声,,,,,,
豚,ぶた,ブタ,,,,,
イワシ,鰯,いわし,,,,,
鷲,わし,ワシ,,,,,
セミ,蝉,,,,,,
ごぼう,ゴボウ,牛蒡,午房,,,,
なし,ナシ,梨,,,,,
日本酒,,,,,,,
ゼリー,,,,,,,
浴槽,風呂,お風呂,,,,,
鍋,なべ,,,,,,
靴べら,靴ベラ,靴箆,,,,,
ソファー,,,,,,,
雑煮,お雑煮,,,,,,
三々九度,,,,,,,
ツリー,,,,,,,
肉,にく,お肉,ミート,,,,
キャベツ,きゃべつ,,,,,,
はんぺん,ハンペン,,,,,,
糸こんにゃく,糸蒟蒻,糸コンニャク,,,,,
ガイドブック,,,,,,,
お薬手帳,くすり手帳,,,,,,
ランタン,,,,,,,
リュック,,,,,,,
すずり,硯,,,,,,
植木鉢,うえきばち,,,,,,
お水,水,みず,おみず,,,,
もやし,モヤシ,,,,,,
パイナップル,,,,,,,
柏餅,かしわ餅,かしわもち,,,,,
グミ,ぐみ,,,,,,
熊,クマ,くま,,,,,
羊,ひつじ,ヒツジ,,,,,
キュウリ,胡瓜,きゅうり,,,,,
木の幹,,,,,,,
桜,さくら,サクラ,,,,,
上野公園,,,,,,,
大雪山,,,,,,,
日本アルプス,,,,,,,
原爆資料館,,,,,,,
審判,,,,,,,
平泳ぎ,,,,,,,
砂場,,,,,,,
教室,,,,,,,
救急室,,,,,,,
管制塔,,,,,,,
レモン,檸檬,れもん,,,,,
カブ,蕪,,,,,,
カボチャ,かぼちゃ,南瓜,,,,,
ラーメン,拉麺,らーめん,,,,,
シャンプー,,,,,,,
デンタルフロス,,,,,,,
洗剤,,,,,,,
雑巾,,,,,,,
醤油,しょうゆ,しょう油,,,,,
琉球,,,,,,,
茶畑,,,,,,,
ねぶた祭り,ねぶた祭,,,,,,
きしめん,きし麺,,,,,,
エリザベス女王,エリザベス,,,,,,
ワシントン,,,,,,,
ナイル川,,,,,,,
コアラ,,,,,,,
道案内,,,,,,,
婚姻届け,婚姻届,,,,,,
レスキュー隊,,,,,,,
体操,,,,,,,
パン屋,,,,,,,
軟膏,,,,,,,
琴,,,,,,,
病院,,,,,,,
バス,,,,,,,
背広,,,,,,,
箸,,,,,,,
ひのき,ヒノキ,檜,,,,,
食器棚,,,,,,,
定規,,,,,,,
メダカ,めだか,,,,,,
電子レンジ,レンジ,,,,,,
チェロ,,,,,,,
プラモデル,,,,,,,
台風,タイフーン,サイクロン,,,,,
チューリップ,,,,,,,
指輪,ゆびわ,リング,,,,,
イスラム教,,,,,,,
買い物,買物,ショッピング,,,,,
マスカラ,,,,,,,
運転士,運転手,運転者,,,,,
毛布,,,,,,,
雑巾,ぞうきん,,,,,,
金槌,金づち,金鎚,かなづち,,,,
カマキリ,蟷螂,螳螂,かまきり,,,,
鉛筆削り,えんぴつ削り,エンピツ削り,,,,,
いくら,イクラ,,,,,,
悲しみ,悲しい,哀しい,哀しみ,かなしい,かなしみ,,
楕円,だ円,,,,,,
一寸法師,,,,,,,
ありがとう,有り難う,有難う,,,,,
ランニング,,,,,,,
囲碁,,,,,,,
北京ダック,,,,,,,
財務省,,,,,,,
常磐道,,,,,,,
ボールペン,,,,,,,
ファスナー,,,,,,,
電池,,,,,,,
眉毛,まゆ毛,まゆげ,,,,,
ワイパー,,,,,,,
えら,鰓,エラ,,,,,
窓,まど,ウィンドウ,,,,,
ベル,,,,,,,
腰,,,,,,,
トマト,とまと,,,,,,
ツユクサ,露草,つゆ草,,,,,
卒業式,,,,,,,
コート,,,,,,,
かき氷,カキ氷,,,,,,
稲刈り,稲刈,稲かり,,,,,
鰆,サワラ,さわら,,,,,
白鳥,ハクチョウ,,,,,,
バッタ,飛蝗,,,,,,
サツマイモ,さつま芋,薩摩芋,さつまいも,,,,
マンゴー,芒果,,,,,,
焼酎,,,,,,,
リンス,,,,,,,
やかん,薬缶,薬缶,,,,,
靴,くつ,クツ,,,,,
クッション,,,,,,,
お年玉,御年玉,,,,,,
里帰り,,,,,,,
教会,,,,,,,
たまねぎ,玉ねぎ,タマネギ,玉葱,玉ネギ,,,
紅ショウガ,べにショウガ,べにショウガ,紅しょうが,,,,
さつま揚げ,薩摩揚げ,さつまあげ,薩摩揚,,,,
ねぎ,ネギ,葱,根木,,,,
外貨,,,,,,,
お金,金,マネー,,,,,
クーラーボックス,アイスボックス,,,,,,
水筒,,,,,,,
半紙,,,,,,,
肥料,肥糧,,,,,,
とんかち,トンカチ,,,,,,
しいたけ,椎茸,シイタケ,,,,,
ぶどう,ブドウ,葡萄,,,,,
きんつば,金鍔,キンツバ,,,,,
キャンディー,飴,あめ,,,,,
ヒョウ,,,,,,,
マス,,,,,,,
パンダ,,,,,,,
胡麻,ごま,ゴマ,,,,,
コスモス,,,,,,,
浅草,,,,,,,
キタキツネ,,,,,,,
カステラ,,,,,,,
グローブ,,,,,,,
クロール,,,,,,,
ネット,,,,,,,
レッドカード,,,,,,,
鉄棒,,,,,,,
家庭科室,,,,,,,
レントゲン室,,,,,,,
滑走路,,,,,,,
グレープフルーツ,,,,,,,
こまつな,小松菜,コマツナ,,,,,
スパゲッティ,スパゲッティー,スパゲティー,スパゲティ,,,,
歯間ブラシ,,,,,,,
柔軟剤,,,,,,,
メロン,めろん,,,,,,
コショウ,こしょう,胡椒,,,,,
プリン,ぷりん,,,,,,
那覇,那覇市,,,,,,
十和田湖,,,,,,,
名古屋コーチン,,,,,,,
ポンド,,,,,,,
カリフォルニア,,,,,,,
砂漠,,,,,,,
アデリーペンギン,,,,,,,
パトロール,,,,,,,
福祉課,,,,,,,
はしご車,梯子車,,,,,,
ケーキ屋,,,,,,,
サッカー,フットボール,,,,,,
本屋,本屋さん,,,,,,
錠剤,錠,,,,,,
フルート,,,,,,,
教会,礼拝堂,教会堂,チャペル,チャーチ,聖堂,,
船,船舶,舟艇,ふね,舟,,,
ワイシャツ,Yシャツ,yシャツ,,,,,
フォーク,,,,,,,
ベッド,布団,お布団,,,,,
コンパス,,,,,,,
あじ,アジ,,,,,,
掃除機,,,,,,,
リコーダー,,,,,,,
ラジコン,,,,,,,
くもり,曇り,曇,,,,,
蘭,ラン,,,,,,
ブレスレット,,,,,,,
ユダヤ教,,,,,,,
布団干し,ふとん干し,蒲団干し,,,,,
アイシャドウ,,,,,,,
店員,売り手,売子,売り子,,,,
タオルケット,,,,,,,
モップ,,,,,,,
かんな,カンナ,鉋,,,,,
トンボ,とんぼ,蜻蛉,,,,,
色鉛筆,いろえんぴつ,,,,,,
いか,イカ,烏賊,,,,,
喜ぶ,悦ぶ,,,,,,
三角形,トライアングル,,,,,,
シンデレラ,,,,,,,
さようなら,サヨウナラ,,,,,,
刀,カタナ,かたな,,,,,
カイロ,,,,,,,
タイツ,,,,,,,
麻雀,,,,,,,
八宝菜,,,,,,,
農林水産省,,,,,,,
甲州街道,,,,,,,
万年筆,,,,,,,
ポケット,,,,,,,
数字,数,数値,,,,,
耳,みみ,イヤー,,,,,
ハンドル,,,,,,,
背びれ,背ビレ,背鰭,,,,,
ベランダ,,,,,,,
かご,籠,篭,カゴ,,,,
背中,せなか,,,,,,
ガスの炎,ガス,,,,,,
ぎんなん,銀杏,ギンナン,,,,,
紙,かみ,ペーパー,,,,,
雪だるま,雪ダルマ,雪達磨,,,,,
海水浴,,,,,,,
ハロウィン,ハロウィーン,,,,,,
虎,トラ,とら,,,,,
カツオ,かつお,鰹,,,,,
スズメ,すずめ,雀,,,,,
コオロギ,こおろぎ,蟋蟀,,,,,
マスカット,,,,,,,
カクテル,,,,,,,
ムース,,,,,,,
ガスレンジ,,,,,,,
傘立て,,,,,,,
カーペット,,,,,,,
年賀状,,,,,,,
送り火,,,,,,,
プレゼント,,,,,,,
ルウ,ルー,ルゥ,,,,,
